numbre CCs detected (background including): 168
Component_26 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_27 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_28 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_29 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_30 =>Avion 306.433 | Cercle 156.84 | Demi Cercle 231.449 | double fleche 303.307 | fleche 250.25 | Rectangle 3D 284.455 | Rectangle H 214.362 | Rectangle V 311.081 | Rectangle V Empty 0.749597 | Symbole 1 155.172 | Symbole 2 158.511 | Symbole 3 159.177 | Symbole 4 204.151 | Symbole 5 307.644 | Symbole 6 306.619 |  => 0.749597 => Rectangle V Empty
Component_31 =>Avion 100.74 | Cercle 5.18199 | Demi Cercle 26.7652 | double fleche 98.3859 | fleche 45.5179 | Rectangle 3D 78.7975 | Rectangle H 9.9425 | Rectangle V 104.371 | Rectangle V Empty 7.67531 | Symbole 1 41.1841 | Symbole 2 51.5878 | Symbole 3 15.9477 | Symbole 4 8.33556 | Symbole 5 102.28 | Symbole 6 100.24 |  => 5.18199 => Cercle
Component_32 =>Avion 100.24 | Cercle 5.27838 | Demi Cercle 26.9088 | double fleche 98.4515 | fleche 45.6479 | Rectangle 3D 78.9394 | Rectangle H 9.96522 | Rectangle V 104.253 | Rectangle V Empty 7.63059 | Symbole 1 41.3107 | Symbole 2 51.5646 | Symbole 3 16.0617 | Symbole 4 8.45848 | Symbole 5 102.236 | Symbole 6 100.38 |  => 5.27838 => Cercle
Component_33 =>Avion 100.38 | Cercle 3.28202 | Demi Cercle 29.975 | double fleche 102.635 | fleche 48.4579 | Rectangle 3D 82.2073 | Rectangle H 14.046 | Rectangle V 110.084 | Rectangle V Empty 11.506 | Symbole 1 36.2352 | Symbole 2 47.1861 | Symbole 3 9.54509 | Symbole 4 0.36544 | Symbole 5 106.175 | Symbole 6 103.844 |  => 0.36544 => Symbole 4
Component_34 =>Avion 86.2172 | Cercle 4.76078 | Demi Cercle 10.8684 | double fleche 83.8019 | fleche 29.5646 | Rectangle 3D 63.1591 | Rectangle H 11.4206 | Rectangle V 91.3606 | Rectangle V Empty 11.3024 | Symbole 1 54.9637 | Symbole 2 66.1562 | Symbole 3 28.3367 | Symbole 4 0.851443 | Symbole 5 87.2952 | Symbole 6 84.8781 |  => 0.851443 => Symbole 4
Component_35 =>Avion 84.8781 | Cercle 2.86155 | Demi Cercle 72.1151 | double fleche 144.511 | fleche 90.5871 | Rectangle 3D 124.56 | Rectangle H 55.384 | Rectangle V 151.85 | Rectangle V Empty 53.9628 | Symbole 1 3.56069 | Symbole 2 3.28105 | Symbole 3 2.18385 | Symbole 4 44.6393 | Symbole 5 148.606 | Symbole 6 146.741 |  => 2.18385 => Symbole 3
