numbre CCs detected (background including): 149
Component_28 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_29 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_30 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_31 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_32 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_33 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_34 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_35 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_36 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_37 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_38 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_39 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_40 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_41 =>Rectangle H 0 | Rectangle V 54.1176 | Symbole 1 45.692 | Symbole 10 9.61625 | Symbole 11 46.1842 | Symbole 2 42.7996 | Symbole 3 46.1441 | Symbole 4 47.5032 | Symbole 5 29.9445 | Symbole 6 47.7091 | Symbole 7 33.0713 | Symbole 8 51.1332 | Symbole 9 54.1176 |  => 0 => Rectangle H
Component_42 =>Rectangle H 54.1176 | Rectangle V 0 | Symbole 1 2061.68 | Symbole 10 2024.31 | Symbole 11 2062.06 | Symbole 2 2057.97 | Symbole 3 2060.84 | Symbole 4 2062.78 | Symbole 5 2045.51 | Symbole 6 2062.18 | Symbole 7 2049.49 | Symbole 8 2067.21 | Symbole 9 768.875 |  => 0 => Rectangle V
Component_43 =>Rectangle H 768.875 | Rectangle V 0 | Symbole 1 2061.68 | Symbole 10 2024.31 | Symbole 11 2062.06 | Symbole 2 2057.97 | Symbole 3 2060.84 | Symbole 4 2062.78 | Symbole 5 2045.51 | Symbole 6 2062.18 | Symbole 7 2049.49 | Symbole 8 2067.21 | Symbole 9 768.875 |  => 0 => Rectangle V
Component_44 =>Rectangle H 768.875 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_45 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_46 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_47 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_48 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_49 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_50 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_51 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
Component_52 =>Rectangle H 4901.64 | Rectangle V 0 | Symbole 1 6196.18 | Symbole 10 6159.09 | Symbole 11 6196.61 | Symbole 2 6192.47 | Symbole 3 6195.13 | Symbole 4 6197.5 | Symbole 5 6180.25 | Symbole 6 6197.01 | Symbole 7 6183.98 | Symbole 8 6201.31 | Symbole 9 4901.64 |  => 0 => Rectangle V
