numbre CCs detected (background including): 711
Component_22 =>Cercle 6.45089 | diode H 29.4406 | diode V 78.1537 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Symbole 1 35.0554 | Symbole 10 25.4241 | Symbole 11 53.4973 | Symbole 12 58.9704 | Symbole 13 33.4878 | Symbole 14 37.5763 | Symbole 15 9.39165 | Symbole 16 78.1537 | Symbole 17 35.1992 | Symbole 18 30.7467 | Symbole 19 33.9185 | Symbole 2 78.1537 | Symbole 20 22.424 | Symbole 21 78.1537 | Symbole 22 13.6843 | Symbole 23 15.2256 | Symbole 24 7.89449 | Symbole 3 41.4227 | Symbole 4 6.21691 | Symbole 5 37.9818 | Symbole 6 8.61315 | Symbole 7 78.1537 | Symbole 8 44.373 | Symbole 9 38.1559 |  => 1.13128e-05 => Rectangle H
Component_23 =>Cercle 6.37097 | diode H 6.37097 | diode V 6.37097 | Rectangle H 6.37097 | Rectangle V 6.37097 | Symbole 1 6.37097 | Symbole 10 6.37097 | Symbole 11 6.37097 | Symbole 12 6.37097 | Symbole 13 6.37097 | Symbole 14 6.37097 | Symbole 15 6.37097 | Symbole 16 6.37097 | Symbole 17 6.37097 | Symbole 18 6.37097 | Symbole 19 6.37097 | Symbole 2 6.37097 | Symbole 20 6.37097 | Symbole 21 6.37097 | Symbole 22 6.37097 | Symbole 23 6.37097 | Symbole 24 6.37097 | Symbole 3 6.37097 | Symbole 4 6.37097 | Symbole 5 6.37097 | Symbole 6 6.37097 | Symbole 7 6.37097 | Symbole 8 6.37097 | Symbole 9 6.37097 |  => 6.37097 => classe  rejet => size format different
Component_24 =>Cercle 0.265228 | diode H 33.4153 | diode V 80.6087 | Rectangle H 7.36045 | Rectangle V 80.6087 | Symbole 1 37.9612 | Symbole 10 28.3664 | Symbole 11 58.1144 | Symbole 12 65.1221 | Symbole 13 37.9911 | Symbole 14 41.3655 | Symbole 15 12.9578 | Symbole 16 80.6087 | Symbole 17 40.0363 | Symbole 18 34.0761 | Symbole 19 36.8748 | Symbole 2 80.6087 | Symbole 20 25.23 | Symbole 21 80.6087 | Symbole 22 17.1127 | Symbole 23 19.0133 | Symbole 24 5.86007 | Symbole 3 39.5501 | Symbole 4 2.98659 | Symbole 5 41.3903 | Symbole 6 7.62558 | Symbole 7 80.6087 | Symbole 8 48.1183 | Symbole 9 41.9666 |  => 0.265228 => Cercle
Component_25 =>Cercle 41.9666 | diode H 533.223 | diode V 13.2643 | Rectangle H 478.662 | Rectangle V 580.598 | Symbole 1 538.716 | Symbole 10 528.655 | Symbole 11 556.591 | Symbole 12 563.2 | Symbole 13 536.6 | Symbole 14 540.613 | Symbole 15 491.088 | Symbole 16 325.612 | Symbole 17 538.659 | Symbole 18 533.971 | Symbole 19 537.084 | Symbole 2 20.6697 | Symbole 20 525.639 | Symbole 21 4.76944 | Symbole 22 516.763 | Symbole 23 519.2 | Symbole 24 500.523 | Symbole 3 466.333 | Symbole 4 160.783 | Symbole 5 541.424 | Symbole 6 475.773 | Symbole 7 89.4632 | Symbole 8 547.67 | Symbole 9 542.11 |  => 4.76944 => Symbole 21
Component_26 =>Cercle 22.1803 | diode H 20.9858 | diode V 22.1803 | Rectangle H 22.1803 | Rectangle V 22.1803 | Symbole 1 22.1803 | Symbole 10 22.1803 | Symbole 11 9.44273 | Symbole 12 0.274734 | Symbole 13 22.1803 | Symbole 14 22.1803 | Symbole 15 22.1803 | Symbole 16 22.1803 | Symbole 17 22.1803 | Symbole 18 22.1803 | Symbole 19 22.1803 | Symbole 2 22.1803 | Symbole 20 22.1803 | Symbole 21 22.1803 | Symbole 22 22.1803 | Symbole 23 22.1803 | Symbole 24 22.1803 | Symbole 3 22.1803 | Symbole 4 22.1803 | Symbole 5 13.476 | Symbole 6 22.1803 | Symbole 7 22.1803 | Symbole 8 15.1957 | Symbole 9 22.1803 |  => 0.274734 => Symbole 12
Component_27 =>Cercle 22.1803 | diode H 762.645 | diode V 179.835 | Rectangle H 707.487 | Rectangle V 725.644 | Symbole 1 766.363 | Symbole 10 756.477 | Symbole 11 785.569 | Symbole 12 791.854 | Symbole 13 766.036 | Symbole 14 769.248 | Symbole 15 722.198 | Symbole 16 556.173 | Symbole 17 767.808 | Symbole 18 762.92 | Symbole 19 766.323 | Symbole 2 251.802 | Symbole 20 754.533 | Symbole 21 227.601 | Symbole 22 746.058 | Symbole 23 748.128 | Symbole 24 730.024 | Symbole 3 696.115 | Symbole 4 392.168 | Symbole 5 768.676 | Symbole 6 705.643 | Symbole 7 320.926 | Symbole 8 775.098 | Symbole 9 770.351 |  => 22.1803 => Cercle
Component_28 =>Cercle 33.071 | diode H 0.567413 | diode V 49.7973 | Rectangle H 7.52388 | Rectangle V 49.7973 | Symbole 1 5.81054 | Symbole 10 8.17034 | Symbole 11 25.169 | Symbole 12 31.7247 | Symbole 13 5.47515 | Symbole 14 8.4844 | Symbole 15 23.6264 | Symbole 16 49.7973 | Symbole 17 6.9503 | Symbole 18 2.04556 | Symbole 19 4.94842 | Symbole 2 49.7973 | Symbole 20 10.4396 | Symbole 21 49.7973 | Symbole 22 19.5087 | Symbole 23 17.2676 | Symbole 24 35.347 | Symbole 3 49.7973 | Symbole 4 2.20637 | Symbole 5 9.18244 | Symbole 6 9.89494 | Symbole 7 49.7973 | Symbole 8 15.4975 | Symbole 9 9.273 |  => 0.567413 => diode H
Component_29 =>Cercle 9.273 | diode H 6.15 | diode V 44.7635 | Rectangle H 15.404 | Rectangle V 44.7635 | Symbole 1 2.53405 | Symbole 10 14.8527 | Symbole 11 17.773 | Symbole 12 25.2291 | Symbole 13 4.44147 | Symbole 14 0.276576 | Symbole 15 29.8562 | Symbole 16 44.7635 | Symbole 17 3.28569 | Symbole 18 8.79775 | Symbole 19 5.88671 | Symbole 2 44.7635 | Symbole 20 17.629 | Symbole 21 44.7635 | Symbole 22 26.04 | Symbole 23 24.9698 | Symbole 24 42.9028 | Symbole 3 44.7635 | Symbole 4 5.36275 | Symbole 5 3.19292 | Symbole 6 14.985 | Symbole 7 44.7635 | Symbole 8 8.03658 | Symbole 9 4.09159 |  => 0.276576 => Symbole 14
Component_30 =>Cercle 4.09159 | diode H 50.7461 | diode V 98.6185 | Rectangle H 7.98468 | Rectangle V 98.6185 | Symbole 1 55.2336 | Symbole 10 45.3348 | Symbole 11 74.2599 | Symbole 12 81.274 | Symbole 13 54.1687 | Symbole 14 57.6273 | Symbole 15 9.47032 | Symbole 16 98.6185 | Symbole 17 56.4409 | Symbole 18 50.7537 | Symbole 19 54.0674 | Symbole 2 98.6185 | Symbole 20 42.5209 | Symbole 21 98.6185 | Symbole 22 33.8163 | Symbole 23 36.6076 | Symbole 24 17.836 | Symbole 3 19.6853 | Symbole 4 1.47114 | Symbole 5 58.6391 | Symbole 6 5.97748 | Symbole 7 98.6185 | Symbole 8 64.994 | Symbole 9 59.4463 |  => 1.47114 => Symbole 4
Component_31 =>Cercle 29.5788 | diode H 6.98392 | diode V 55.4768 | Rectangle H 8.14907e-06 | Rectangle V 55.4768 | Symbole 1 12.6038 | Symbole 10 4.59005 | Symbole 11 31.0392 | Symbole 12 36.1223 | Symbole 13 11.036 | Symbole 14 15.1695 | Symbole 15 19.4927 | Symbole 16 55.4768 | Symbole 17 12.7829 | Symbole 18 8.25726 | Symbole 19 11.4851 | Symbole 2 55.4768 | Symbole 20 6.51121 | Symbole 21 55.4768 | Symbole 22 15.1006 | Symbole 23 12.8238 | Symbole 24 31.1566 | Symbole 3 55.4768 | Symbole 4 3.73714 | Symbole 5 15.6109 | Symbole 6 6.00032 | Symbole 7 55.4768 | Symbole 8 21.9775 | Symbole 9 15.7709 |  => 8.14907e-06 => Rectangle H
