nombre CCs detecte : 168
composant_39 =>Avion 34.2509 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_40 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_41 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_42 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_43 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_44 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_45 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_46 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_47 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
composant_48 =>Avion 153.414 | Cercle 106.201 | Demi Cercle 181.026 | double fleche 252.531 | fleche 199.612 | Rectangle 3D 233.661 | Rectangle H 163.78 | Rectangle V 260.503 | Rectangle V Empty 0.751286 | S 104.491 | U 107.993 | X 108.443 | Z 153.414 |  => 0.751286 => Rectangle V Empty
