composant_26 =>A 328.997 | B 3536.16 | C 3351.83 | Cercle 3502.58 | D 3165.33 | E 3486.9 | F 3584.96 | G 3552.42 | H 3497.36 | I 3583.13 | J 3575.39 | K 3563.22 | L 3402.79 | M 3546.36 | N 3531.63 | O 3582.81 | P 3530.04 | Q 3532.14 | R 3574.63 | Ractangle V Empty 3266.84 | Rectangle H 3491.1 | Rectangle V 1007.51 |  => 328.997 => A
composant_27 =>A 1007.51 | B 1598.17 | C 1415 | Cercle 1564.65 | D 1228.94 | E 1549.14 | F 1648.24 | G 1614.46 | H 1559.83 | I 1646.68 | J 1637.25 | K 1625.49 | L 1465.24 | M 1608.63 | N 1594.43 | O 1646.36 | P 1591.89 | Q 1594.12 | R 1638.12 | Ractangle V Empty 1329.85 | Rectangle H 1553.95 | Rectangle V 160.451 |  => 160.451 => Rectangle V
composant_28 =>A 160.451 | B 243.154 | C 58.3547 | Cercle 210.244 | D 42.3464 | E 193.465 | F 292.425 | G 259.598 | H 204.017 | I 289.926 | J 282.862 | K 269.643 | L 109.765 | M 252.813 | N 238.201 | O 289.063 | P 237.066 | Q 239.458 | R 281.167 | Ractangle V Empty 29.8105 | Rectangle H 198.48 | Rectangle V 296.821 |  => 29.8105 => Ractangle V Empty
composant_29 =>A 296.821 | B 1598.17 | C 1415 | Cercle 1564.65 | D 1228.94 | E 1549.14 | F 1648.24 | G 1614.46 | H 1559.83 | I 1646.68 | J 1637.25 | K 1625.49 | L 1465.24 | M 1608.63 | N 1594.43 | O 1646.36 | P 1591.89 | Q 1594.12 | R 1638.12 | Ractangle V Empty 1329.85 | Rectangle H 1553.95 | Rectangle V 160.451 |  => 160.451 => Rectangle V
composant_30 =>A 1.40053 | B 35.9341 | C 92.4528 | Cercle 4.82568 | D 92.4528 | E 15.8179 | F 87.8 | G 52.4978 | H 5.05293 | I 85.7301 | J 75.2986 | K 64.2548 | L 92.4528 | M 47.045 | N 33.5809 | O 84.8135 | P 30.7466 | Q 31.6991 | R 76.0567 | Ractangle V Empty 92.4528 | Rectangle H 10.2616 | Rectangle V 92.4528 |  => 1.40053 => A
composant_31 =>A 1.40053 | B 35.9341 | C 92.4528 | Cercle 4.82568 | D 92.4528 | E 15.8179 | F 87.8 | G 52.4978 | H 5.05293 | I 85.7301 | J 75.2986 | K 64.2548 | L 92.4528 | M 47.045 | N 33.5809 | O 84.8135 | P 30.7466 | Q 31.6991 | R 76.0567 | Ractangle V Empty 92.4528 | Rectangle H 10.2616 | Rectangle V 92.4528 |  => 1.40053 => A
composant_32 =>A 1.40053 | B 35.9341 | C 92.4528 | Cercle 4.82568 | D 92.4528 | E 15.8179 | F 87.8 | G 52.4978 | H 5.05293 | I 85.7301 | J 75.2986 | K 64.2548 | L 92.4528 | M 47.045 | N 33.5809 | O 84.8135 | P 30.7466 | Q 31.6991 | R 76.0567 | Ractangle V Empty 92.4528 | Rectangle H 10.2616 | Rectangle V 92.4528 |  => 1.40053 => A
composant_33 =>A 0.614857 | B 37.0515 | C 93.5963 | Cercle 6.00486 | D 93.5963 | E 14.6592 | F 88.9441 | G 53.5964 | H 3.89437 | I 86.8577 | J 76.4997 | K 65.3353 | L 93.5963 | M 48.1998 | N 34.7371 | O 86.0107 | P 31.8603 | Q 32.8502 | R 77.1767 | Ractangle V Empty 93.5963 | Rectangle H 9.14745 | Rectangle V 93.5963 |  => 0.614857 => A
composant_34 =>A 1.40053 | B 35.9341 | C 92.4528 | Cercle 4.82568 | D 92.4528 | E 15.8179 | F 87.8 | G 52.4978 | H 5.05293 | I 85.7301 | J 75.2986 | K 64.2548 | L 92.4528 | M 47.045 | N 33.5809 | O 84.8135 | P 30.7466 | Q 31.6991 | R 76.0567 | Ractangle V Empty 92.4528 | Rectangle H 10.2616 | Rectangle V 92.4528 |  => 1.40053 => A
composant_35 =>A 1.40053 | B 35.9341 | C 92.4528 | Cercle 4.82568 | D 92.4528 | E 15.8179 | F 87.8 | G 52.4978 | H 5.05293 | I 85.7301 | J 75.2986 | K 64.2548 | L 92.4528 | M 47.045 | N 33.5809 | O 84.8135 | P 30.7466 | Q 31.6991 | R 76.0567 | Ractangle V Empty 92.4528 | Rectangle H 10.2616 | Rectangle V 92.4528 |  => 1.40053 => A
composant_36 =>A 1.40053 | B 35.9341 | C 92.4528 | Cercle 4.82568 | D 92.4528 | E 15.8179 | F 87.8 | G 52.4978 | H 5.05293 | I 85.7301 | J 75.2986 | K 64.2548 | L 92.4528 | M 47.045 | N 33.5809 | O 84.8135 | P 30.7466 | Q 31.6991 | R 76.0567 | Ractangle V Empty 92.4528 | Rectangle H 10.2616 | Rectangle V 92.4528 |  => 1.40053 => A
composant_37 =>A 0.76146 | B 37.1618 | C 93.6287 | Cercle 6.03638 | D 93.6287 | E 14.6014 | F 88.9782 | G 53.7143 | H 3.85497 | I 86.9432 | J 76.5074 | K 65.4624 | L 93.6287 | M 48.2525 | N 34.8085 | O 86.0291 | P 31.9396 | Q 32.8902 | R 77.2753 | Ractangle V Empty 93.6287 | Rectangle H 9.05247 | Rectangle V 93.6287 |  => 0.76146 => A
composant_38 =>A 2.9001 | B 34.7461 | C 91.1548 | Cercle 3.49528 | D 91.1548 | E 17.1075 | F 86.4627 | G 51.311 | H 6.29183 | I 84.5004 | J 73.9104 | K 63.0614 | L 91.1548 | M 45.8436 | N 32.3361 | O 83.4801 | P 29.5787 | Q 30.2389 | R 74.8364 | Ractangle V Empty 91.1548 | Rectangle H 11.5069 | Rectangle V 91.1548 |  => 2.9001 => A
composant_39 =>A 14.7731 | B 24.9042 | C 80.8817 | Cercle 14.4725 | D 80.8817 | E 26.0909 | F 76.0827 | G 41.1922 | H 15.2141 | I 73.7996 | J 64.7279 | K 52.091 | L 80.8817 | M 35.1518 | N 21.3045 | O 72.721 | P 19.2526 | Q 20.917 | R 64.3174 | Ractangle V Empty 80.8817 | Rectangle H 21.8713 | Rectangle V 80.8817 |  => 14.4725 => Cercle
composant_40 =>A 38.4757 | B 2.52645 | C 56.4525 | Cercle 38.6375 | D 56.4525 | E 52.4023 | F 52.2176 | G 16.1622 | H 41.6503 | I 50.0605 | J 38.7512 | K 28.2642 | L 56.4525 | M 10.9945 | N 8.71668 | O 48.9458 | P 8.78765 | Q 7.68132 | R 40.1077 | Ractangle V Empty 56.4525 | Rectangle H 25.7917 | Rectangle V 56.4525 |  => 2.52645 => B
